NUTS_ID, TIMESTAMP, MONTHLY_MAX                                                 
DE925,2005-01-01,0                                                              
DE926,2005-01-01,0                                                              
DE927,2005-01-01,0                                                              
DE928,2005-01-01,0                                                              
DE929,2005-01-01,0                                                              
DE931,2005-01-01,0                                                              
DE932,2005-01-01,0                                                              
DE933,2005-01-01,0                                                              
DE934,2005-01-01,.713                                                           
DE935,2005-01-01,0                                                              
DE936,2005-01-01,0                                                              
DE937,2005-01-01,0                                                              
DE938,2005-01-01,0                                                              
DE939,2005-01-01,0                                                              
DE93A,2005-01-01,0                                                              
DE93B,2005-01-01,0                                                              
DE942,2005-01-01,0                                                              
DE943,2005-01-01,0                                                              
DE946,2005-01-01,0                                                              
DE947,2005-01-01,0                                                              
DE948,2005-01-01,0                                                              
DE949,2005-01-01,0                                                              
DE94B,2005-01-01,0                                                              
DE94C,2005-01-01,0                                                              
DE94D,2005-01-01,0                                                              
DE94E,2005-01-01,0                                                              
DE94F,2005-01-01,0                                                              
DE94G,2005-01-01,0                                                              
DEA11,2005-01-01,0                                                              
DEA12,2005-01-01,0                                                              
DEA13,2005-01-01,0                                                              
DEA14,2005-01-01,0                                                              
DEA16,2005-01-01,0                                                              
DEA17,2005-01-01,0                                                              
DEA1B,2005-01-01,0                                                              
DEA1C,2005-01-01,0                                                              
DEA1D,2005-01-01,0                                                              
DEA1E,2005-01-01,0                                                              
DEA1F,2005-01-01,0                                                              
DEA22,2005-01-01,0                                                              
DEA23,2005-01-01,0                                                              
DEA24,2005-01-01,0                                                              
DEA26,2005-01-01,0                                                              
DEA27,2005-01-01,0                                                              
DEA29,2005-01-01,0                                                              
DEA2A,2005-01-01,0                                                              
DEA2C,2005-01-01,0                                                              
DEA2D,2005-01-01,0                                                              
DEA33,2005-01-01,0                                                              
DEA35,2005-01-01,0                                                              
DEA36,2005-01-01,0                                                              
DEA37,2005-01-01,0                                                              
DEA38,2005-01-01,0                                                              
DEA43,2005-01-01,0                                                              
DEA44,2005-01-01,0                                                              
DEA45,2005-01-01,0                                                              
DEA46,2005-01-01,0                                                              
DEA47,2005-01-01,0                                                              
DEA51,2005-01-01,0                                                              
DEA52,2005-01-01,0                                                              
DEA53,2005-01-01,0                                                              
DEA54,2005-01-01,0                                                              
DEA56,2005-01-01,0                                                              
DEA57,2005-01-01,0                                                              
DEA58,2005-01-01,0                                                              
DEA5B,2005-01-01,0                                                              
DEA5C,2005-01-01,0                                                              
DEB11,2005-01-01,0                                                              
DEB12,2005-01-01,0                                                              
DEB13,2005-01-01,0                                                              
DEB14,2005-01-01,0                                                              
DEB15,2005-01-01,0                                                              
DEB17,2005-01-01,0                                                              
DEB18,2005-01-01,0                                                              
