"NUTS_CODE","TIMESTAMP","MEDIAN"
"DE405","2003-01-01",1.322
"DE406","2003-01-01",1.476
"DE407","2003-01-01",1.294
"DE408","2003-01-01",0.873
"DE409","2003-01-01",1.335
"DE40A","2003-01-01",0.662
"DE40B","2003-01-01",1.501
"DE40C","2003-01-01",1.42
"DE40D","2003-01-01",0.558
"DE40E","2003-01-01",1.288
"DE40F","2003-01-01",0.632
"DE40G","2003-01-01",1.251
"DE40H","2003-01-01",1.393
"DE40I","2003-01-01",0.521
"DE501","2003-01-01",0.381
"DE502","2003-01-01",0.458
"DE600","2003-01-01",0.232
"DE711","2003-01-01",1.072
"DE712","2003-01-01",0.738
"DE713","2003-01-01",0.855
"DE714","2003-01-01",0.799
"DE715","2003-01-01",0.904
"DE716","2003-01-01",0.865
"DE717","2003-01-01",0.858
"DE718","2003-01-01",0.742
"DE719","2003-01-01",0.727
"DE71A","2003-01-01",0.821
"DE71B","2003-01-01",0.823
"DE71C","2003-01-01",0.879
"DE71D","2003-01-01",1.01
"DE71E","2003-01-01",0.869
"DE721","2003-01-01",1.141
"DE722","2003-01-01",0.968
"DE723","2003-01-01",0.618
"DE724","2003-01-01",0.701
"DE725","2003-01-01",0.796
"DE731","2003-01-01",0.986
"DE732","2003-01-01",0.868
"DE733","2003-01-01",1.203
"DE734","2003-01-01",1.066
"DE735","2003-01-01",1.21
"DE736","2003-01-01",0.639
"DE737","2003-01-01",1.215
"DE803","2003-01-01",0.258
"DE804","2003-01-01",0.27
"DE80J","2003-01-01",-0.612
"DE80K","2003-01-01",0.215
"DE80L","2003-01-01",-0.005
"DE80M","2003-01-01",0.234
"DE80N","2003-01-01",-0.566
"DE80O","2003-01-01",0.502
"DE911","2003-01-01",1.072
"DE912","2003-01-01",0.982
"DE913","2003-01-01",1.096
"DE914","2003-01-01",0.949
"DE916","2003-01-01",0.476
"DE917","2003-01-01",1.331
"DE918","2003-01-01",1.017
"DE91A","2003-01-01",1.089
"DE91B","2003-01-01",1.051
"DE91C","2003-01-01",1.017
"DE922","2003-01-01",0.796
"DE923","2003-01-01",0.826
"DE925","2003-01-01",1.072
"DE926","2003-01-01",0.717
"DE927","2003-01-01",0.948
"DE928","2003-01-01",1.192
"DE929","2003-01-01",1.101
"DE931","2003-01-01",0.934
"DE932","2003-01-01",0.401
"DE933","2003-01-01",0.658
"DE934","2003-01-01",0.64
"DE935","2003-01-01",0.694
"DE936","2003-01-01",0.689
"DE937","2003-01-01",0.801
"DE938","2003-01-01",0.88
"DE939","2003-01-01",0.203
"DE93A","2003-01-01",0.798
"DE93B","2003-01-01",0.577
"DE941","2003-01-01",0.367
"DE942","2003-01-01",0.363
"DE943","2003-01-01",0.347
"DE944","2003-01-01",0.769
"DE945","2003-01-01",0.388
"DE946","2003-01-01",0.402
"DE947","2003-01-01",0.43
"DE948","2003-01-01",0.592
"DE949","2003-01-01",0.47
"DE94A","2003-01-01",0.469
"DE94B","2003-01-01",0.451
"DE94C","2003-01-01",0.349
"DE94D","2003-01-01",0.818
"DE94E","2003-01-01",0.677
"DE94F","2003-01-01",0.72
"DE94G","2003-01-01",0.408
"DE94H","2003-01-01",0.437
"DEA11","2003-01-01",0.571
"DEA12","2003-01-01",0.498
"DEA13","2003-01-01",0.405
"DEA14","2003-01-01",0.504
"DEA15","2003-01-01",0.584
"DEA16","2003-01-01",0.383
"DEA17","2003-01-01",0.412
"DEA18","2003-01-01",0.498
"DEA19","2003-01-01",0.575
"DEA1A","2003-01-01",0.428
"DEA1B","2003-01-01",0.512
"DEA1C","2003-01-01",0.413
"DEA1D","2003-01-01",0.606
"DEA1E","2003-01-01",0.49
"DEA1F","2003-01-01",0.486
"DEA22","2003-01-01",0.861
"DEA23","2003-01-01",0.856
"DEA24","2003-01-01",0.829
"DEA26","2003-01-01",0.833
"DEA27","2003-01-01",0.878
"DEA28","2003-01-01",0.933
"DEA29","2003-01-01",0.638
"DEA2A","2003-01-01",0.649
"DEA2B","2003-01-01",0.874
"DEA2C","2003-01-01",0.853
"DEA2D","2003-01-01",0.653
"DEA31","2003-01-01",0.399
"DEA32","2003-01-01",0.469
"DEA33","2003-01-01",0.633
"DEA34","2003-01-01",0.519
"DEA35","2003-01-01",0.645
"DEA36","2003-01-01",0.553
"DEA37","2003-01-01",0.498
"DEA38","2003-01-01",0.815
"DEA41","2003-01-01",0.826
"DEA42","2003-01-01",0.765
"DEA43","2003-01-01",0.679
"DEA44","2003-01-01",0.838
"DEA45","2003-01-01",0.888
"DEA46","2003-01-01",0.871
"DEA47","2003-01-01",0.914
"DEA51","2003-01-01",0.53
"DEA52","2003-01-01",0.764
"DEA53","2003-01-01",0.59
"DEA54","2003-01-01",0.923
"DEA55","2003-01-01",0.538
"DEA56","2003-01-01",0.49
"DEA57","2003-01-01",0.613
"DEA58","2003-01-01",0.561
"DEA59","2003-01-01",0.555
"DEA5A","2003-01-01",0.689
"DEA5B","2003-01-01",0.82
"DEA5C","2003-01-01",0.906
"DEB11","2003-01-01",0.93
"DEB12","2003-01-01",0.908
"DEB13","2003-01-01",0.627
"DEB14","2003-01-01",1.279
"DEB15","2003-01-01",1.273
"DEB17","2003-01-01",0.874
"DEB18","2003-01-01",0.842
"DEB1A","2003-01-01",1.197
"DEB1B","2003-01-01",0.538
"DEB1C","2003-01-01",1.189
"DEB1D","2003-01-01",1.317
"DEB21","2003-01-01",0.921
"DEB22","2003-01-01",1.288
"DEB23","2003-01-01",0.7
"DEB24","2003-01-01",1.243
"DEB25","2003-01-01",0.952
"DEB31","2003-01-01",1.22
"DEB32","2003-01-01",1.298
"DEB33","2003-01-01",1.149
"DEB34","2003-01-01",1.164
"DEB35","2003-01-01",0.862
"DEB36","2003-01-01",1.246
"DEB37","2003-01-01",0.969
"DEB38","2003-01-01",1.089
"DEB39","2003-01-01",1.048
"DEB3A","2003-01-01",0.847
"DEB3B","2003-01-01",1.039
"DEB3C","2003-01-01",1.695
"DEB3D","2003-01-01",1.206
"DEB3E","2003-01-01",0.927
"DEB3F","2003-01-01",1.165
"DEB3G","2003-01-01",0.817
"DEB3H","2003-01-01",1.14
"DEB3I","2003-01-01",1.034
"DEB3J","2003-01-01",0.994
"DEB3K","2003-01-01",1.1
"DEC01","2003-01-01",1.035
"DEC02","2003-01-01",1.011
"DEC03","2003-01-01",0.956
"DEC04","2003-01-01",1.078
